Gene stable ID	Transcript stable ID	Gene name
OS01G0120700	OS01T0120700-01	
OS01G0120800	OS01T0120800-01	
OS01G0120800	OS01T0120800-02	
OS01G0120800	OS01T0120800-03	
OS01G0120800	OS01T0120800-04	
OS01G0120800	OS01T0120800-05	
OS01G0120800	OS01T0120800-06	
OS01G0121000	OS01T0121000-01	
OS01G0121100	OS01T0121100-01	
OS01G0121100	OS01T0121100-02	
OS01G0121200	OS01T0121200-01	
OS01G0121300	OS01T0121300-01	
OS01G0121400	OS01T0121400-00	
OS01G0121500	OS01T0121500-01	
OS01G0121600	OS01T0121600-01	
OS01G0121700	OS01T0121700-01	
OS01G0121800	OS01T0121800-01	
OS01G0121800	OS01T0121800-02	
OS01G0121900	OS01T0121900-00	
OS01G0121950	OS01T0121950-00	
OS01G0122000	OS01T0122000-01	
OS01G0122200	OS01T0122200-01	
OS01G0122367	OS01T0122367-00	
OS01G0122534	OS01T0122534-00	
OS01G0122701	OS01T0122701-00	
OS01G0123500	OS01T0123500-00	
OS01G0123700	OS01T0123700-00	
OS01G0123800	OS01T0123800-00	
OS01G0123900	OS01T0123900-01	
OS01G0124000	OS01T0124000-01	
OS01G0124100	OS01T0124100-01	
OS01G0124200	OS01T0124200-02	
OS01G0124401	OS01T0124401-01	RBBI3.3
OS01G0124550	OS01T0124550-00	
OS01G0124600	OS01T0124600-00	
OS01G0124650	OS01T0124650-02	
OS01G0124700	OS01T0124700-01	
OS01G0124900	OS01T0124900-00	
OS01G0125000	OS01T0125000-00	
OS01G0125500	OS01T0125500-00	
OS01G0125550	OS01T0125550-01	
OS01G0125600	OS01T0125600-01	
OS01G0125700	OS01T0125700-01	
OS01G0125800	OS01T0125800-01	
OS01G0125850	OS01T0125850-00	
OS01G0125900	OS01T0125900-01	
OS01G0126000	OS01T0126000-01	
OS01G0126100	OS01T0126100-01	
OS01G0126200	OS01T0126200-01	
OS01G0126401	OS01T0126401-01	
OS01G0126600	OS01T0126600-01	
OS01G0126900	OS01T0126900-01	
OS01G0127000	OS01T0127000-01	
OS01G0127100	OS01T0127100-01	
OS01G0127200	OS01T0127200-01	
OS01G0127300	OS01T0127300-01	
OS01G0127400	OS01T0127400-00	
OS01G0127450	OS01T0127450-00	
OS01G0127500	OS01T0127500-01	
